發生年度,發生月份,發生日期,發生時間,事故類別名稱,處理單位名稱警局層,發生地點,天候名稱,光線名稱,道路類別-第1當事者-名稱,速限-第1當事者,道路型態大類別名稱,道路型態子類別名稱,事故位置大類別名稱,事故位置子類別名稱,路面狀況-路面鋪裝名稱,路面狀況-路面狀態名稱,路面狀況-路面缺陷名稱,道路障礙-障礙物名稱,道路障礙-視距品質名稱,道路障礙-視距名稱,號誌-號誌種類名稱,號誌-號誌動作名稱,車道劃分設施-分向設施大類別名稱,車道劃分設施-分向設施子類別名稱,車道劃分設施-分道設施-快車道或一般車道間名稱,車道劃分設施-分道設施-快慢車道間名稱,車道劃分設施-分道設施-路面邊線名稱,事故類型及型態大類別名稱,事故類型及型態子類別名稱,肇因研判大類別名稱-主要,肇因研判子類別名稱-主要,死亡受傷人數,當事者順位,當事者區分-類別-大類別名稱-車種,當事者區分-類別-子類別名稱-車種,當事者屬-性-別名稱,當事者事故發生時年齡,保護裝備名稱,行動電話或電腦或其他相類功能裝置名稱,當事者行動狀態大類別名稱,當事者行動狀態子類別名稱,車輛撞擊部位大類別名稱-最初,車輛撞擊部位子類別名稱-最初,車輛撞擊部位大類別名稱-其他,車輛撞擊部位子類別名稱-其他,肇因研判大類別名稱-個別,肇因研判子類別名稱-個別,肇事逃逸類別名稱-是否肇逃,經度,緯度
2026,7,20260701,012000,A2,新北市政府警察局,新北市瑞芳區南雅路87-1號前0.0公尺,晴,有照明且開啟,省道,50,單路部分,直路,路段,一般車道(未劃分快慢車道),柏油,乾燥,無缺陷,無障礙物,無遮蔽物,良好,行車管制號誌,正常,雙向禁止超車線,附標記,未繪設車道線,未繪設快慢車道分隔線,有,車與車,追撞,駕駛者,未保持行車安全距離,死亡0;受傷1,2,小客車(含客、貨兩用),自用,男,35,不明,不明,車的狀態,等待(引擎未熄火),汽車,右後車尾(身),,,無(車輛駕駛者因素),尚未發現肇事因素,否,121.887353,25.120951
2026,7,20260701,014000,A2,新北市政府警察局,新北市三重區正義北路 / 新北市三重區重新路,晴,有照明且開啟,其他,50,交岔路,四岔路,交叉路口,交叉口附近,柏油,乾燥,無缺陷,無障礙物,無遮蔽物,良好,行車管制號誌,正常,行車分向線,無標記,車道線(無標記),未繪設快慢車道分隔線,有,車與車,其他,駕駛者,其他未依規定讓車,死亡0;受傷3,1,機車,普通重型,女,34,戴半罩式安全帽,未使用,車的狀態,向前直行中,機車與自行車,前車頭,,,駕駛者,其他未依規定讓車,否,121.497813,25.062213
2026,7,20260701,014000,A2,新北市政府警察局,新北市三重區正義北路 / 新北市三重區重新路,晴,有照明且開啟,其他,50,交岔路,四岔路,交叉路口,交叉口附近,柏油,乾燥,無缺陷,無障礙物,無遮蔽物,良好,行車管制號誌,正常,行車分向線,無標記,車道線(無標記),未繪設快慢車道分隔線,有,車與車,其他,駕駛者,其他未依規定讓車,死亡0;受傷3,2,機車,普通重型,男,22,戴半罩式安全帽,未使用,車的狀態,等待(引擎未熄火),機車與自行車,後車尾,,,無(車輛駕駛者因素),尚未發現肇事因素,否,121.497813,25.062213
2026,7,20260701,014000,A2,新北市政府警察局,新北市三重區正義北路 / 新北市三重區重新路,晴,有照明且開啟,其他,50,交岔路,四岔路,交叉路口,交叉口附近,柏油,乾燥,無缺陷,無障礙物,無遮蔽物,良好,行車管制號誌,正常,行車分向線,無標記,車道線(無標記),未繪設快慢車道分隔線,有,車與車,其他,駕駛者,其他未依規定讓車,死亡0;受傷3,3,人,乘客,男,24,戴半罩式安全帽,非駕駛人,人的狀態,其他,其他,非汽、機及自行車,,,非駕駛者,其他引起事故之疏失或行為,否,121.497813,25.062213
2026,7,20260701,015000,A2,新北市政府警察局,新北市永和區中正橋道路前0.0公尺,晴,有照明且開啟,市區道路,50,單路部分,直路,路段,一般車道(未劃分快慢車道),柏油,乾燥,有坑洞,無障礙物,無遮蔽物,良好,無號誌,無號誌,無,無分向設施,未繪設車道線,未繪設快慢車道分隔線,有,車輛本身,路上翻車、摔倒,其他,其他不當駕車行為,死亡0;受傷1,1,慢車,電動輔助自行車,女,22,未戴安全帽或未繫安全帶(未使用幼童安全椅),未使用,車的狀態,向前直行中,其他,不明,,,其他,其他不當駕車行為,否,121.513360,25.018364
2026,7,20260701,015000,A2,新北市政府警察局,新北市永和區中正橋道路前0.0公尺,晴,有照明且開啟,市區道路,50,單路部分,直路,路段,一般車道(未劃分快慢車道),柏油,乾燥,有坑洞,無障礙物,無遮蔽物,良好,無號誌,無號誌,無,無分向設施,未繪設車道線,未繪設快慢車道分隔線,有,車輛本身,路上翻車、摔倒,其他,其他不當駕車行為,死亡0;受傷1,2,,,無或物(動物、堆置物),115,,,,,,,,,無(非車輛駕駛人因素),尚未發現肇事因素,否,121.513360,25.018364
2026,7,20260701,015158,A2,南投縣政府警察局,南投縣埔里鎮和平東路75號前0.0公尺,晴,有照明且開啟,村里道路,50,單路部分,彎曲路及附近,路段,機車優先道,柏油,乾燥,無缺陷,無障礙物,無遮蔽物,良好,無號誌,無號誌,雙向禁止超車線,無標記,車道線(無標記),快慢車道分隔線,有,車與車,追撞,駕駛者,酒醉(後)駕駛,死亡0;受傷1,1,機車,普通重型,女,27,戴半罩式安全帽,未使用,車的狀態,向前直行中,機車與自行車,前車頭,,,駕駛者,酒醉(後)駕駛,否,120.977513,23.957836
2026,7,20260701,015158,A2,南投縣政府警察局,南投縣埔里鎮和平東路75號前0.0公尺,晴,有照明且開啟,村里道路,50,單路部分,彎曲路及附近,路段,機車優先道,柏油,乾燥,無缺陷,無障礙物,無遮蔽物,良好,無號誌,無號誌,雙向禁止超車線,無標記,車道線(無標記),快慢車道分隔線,有,車與車,追撞,駕駛者,酒醉(後)駕駛,死亡0;受傷1,2,大貨車,營業用,男,32,不明,不明,車的狀態,靜止(引擎熄火),汽車,後車尾,,,其他,違規(臨時)停車,否,120.977513,23.957836
2026,7,20260701,020000,A2,新北市政府警察局,新北市林口區公園路 / 新北市林口區文化二路1段,晴,有照明且開啟,市區道路,30,交岔路,四岔路,交叉路口,交叉路口內,柏油,乾燥,無缺陷,無障礙物,無遮蔽物,良好,無號誌,無號誌,中央分向島,寬式(50公分以上),車道線(無標記),未繪設快慢車道分隔線,有,車與車,路口交岔撞,駕駛者,無號誌路口，支線道未讓幹線道先行,死亡0;受傷1,1,機車,普通重型,男,25,不明,不明,車的狀態,向前直行中,機車與自行車,左側車身,,,駕駛者,無號誌路口，支線道未讓幹線道先行,否,121.366617,25.067409
2026,7,20260701,020000,A2,新北市政府警察局,新北市林口區公園路 / 新北市林口區文化二路1段,晴,有照明且開啟,市區道路,30,交岔路,四岔路,交叉路口,交叉路口內,柏油,乾燥,無缺陷,無障礙物,無遮蔽物,良好,無號誌,無號誌,中央分向島,寬式(50公分以上),車道線(無標記),未繪設快慢車道分隔線,有,車與車,路口交岔撞,駕駛者,無號誌路口，支線道未讓幹線道先行,死亡0;受傷1,2,小客車(含客、貨兩用),自用,男,26,不明,不明,車的狀態,向前直行中,汽車,前車頭,,,無(車輛駕駛者因素),尚未發現肇事因素,否,121.366617,25.067409
2026,7,20260701,020800,A2,高雄市政府警察局,高雄市鼓山區蓮海路70號前0.0公尺,晴,有照明且開啟,市區道路,40,單路部分,彎曲路及附近,路段,一般車道(未劃分快慢車道),柏油,乾燥,突出(高低)不平,無障礙物,無遮蔽物,良好,無號誌,無號誌,行車分向線,無標記,車道線(無標記),未繪設快慢車道分隔線,無,車輛本身,路上翻車、摔倒,無(車輛駕駛者因素),尚未發現肇事因素,死亡0;受傷1,1,慢車,微型電動二輪車,男,16,戴非半罩式安全帽,未使用,車的狀態,向前直行中,其他,無撞擊,,,無(車輛駕駛者因素),尚未發現肇事因素,否,120.263559,22.628546
2026,7,20260701,020800,A2,高雄市政府警察局,高雄市鼓山區蓮海路70號前0.0公尺,晴,有照明且開啟,市區道路,40,單路部分,彎曲路及附近,路段,一般車道(未劃分快慢車道),柏油,乾燥,突出(高低)不平,無障礙物,無遮蔽物,良好,無號誌,無號誌,行車分向線,無標記,車道線(無標記),未繪設快慢車道分隔線,無,車輛本身,路上翻車、摔倒,無(車輛駕駛者因素),尚未發現肇事因素,死亡0;受傷1,2,,,無或物(動物、堆置物),0,,,,,,,,,無(非車輛駕駛人因素),尚未發現肇事因素,否,120.263559,22.628546
2026,7,20260701,022800,A2,新北市政府警察局,新北市中和區橋和路前0.0公尺,晴,有照明且開啟,市區道路,50,單路部分,直路,路段,一般車道(未劃分快慢車道),柏油,乾燥,無缺陷,無障礙物,無遮蔽物,良好,行車管制號誌,正常,行車分向線,無標記,車道線(無標記),未繪設快慢車道分隔線,無,車與車,同向擦撞,無(車輛駕駛者因素),尚未發現肇事因素,死亡0;受傷1,1,小客車(含客、貨兩用),自用,男,30,不明,不明,車的狀態,向前直行中,汽車,左側車身,,,無(車輛駕駛者因素),尚未發現肇事因素,否,121.495202,25.006589
2026,7,20260701,022800,A2,新北市政府警察局,新北市中和區橋和路前0.0公尺,晴,有照明且開啟,市區道路,50,單路部分,直路,路段,一般車道(未劃分快慢車道),柏油,乾燥,無缺陷,無障礙物,無遮蔽物,良好,行車管制號誌,正常,行車分向線,無標記,車道線(無標記),未繪設快慢車道分隔線,無,車與車,同向擦撞,無(車輛駕駛者因素),尚未發現肇事因素,死亡0;受傷1,2,小客車(含客、貨兩用),自用,男,51,不明,不明,車的狀態,向右變換車道,汽車,右側車身,,,無(車輛駕駛者因素),尚未發現肇事因素,否,121.495202,25.006589
2026,7,20260701,023300,A2,臺中市政府警察局,臺中市北屯區北屯里太原路三段275號前0.0公尺,晴,有照明且開啟,市區道路,50,交岔路,三岔路,交叉路口,交叉口附近,柏油,乾燥,無缺陷,無障礙物,無遮蔽物,良好,無號誌,無號誌,雙向禁止超車線,無標記,車道線(無標記),快慢車道分隔線,無,人與車,對向通行中,其他,其他不當駕車行為,死亡0;受傷2,1,機車,普通重型,男,21,戴半罩式安全帽,未使用,車的狀態,向前直行中,機車與自行車,前車頭,,,其他,其他不當駕車行為,否,120.693731,24.165151
2026,7,20260701,023300,A2,臺中市政府警察局,臺中市北屯區北屯里太原路三段275號前0.0公尺,晴,有照明且開啟,市區道路,50,交岔路,三岔路,交叉路口,交叉口附近,柏油,乾燥,無缺陷,無障礙物,無遮蔽物,良好,無號誌,無號誌,雙向禁止超車線,無標記,車道線(無標記),快慢車道分隔線,無,人與車,對向通行中,其他,其他不當駕車行為,死亡0;受傷2,2,人,行人,男,39,其他(無需使用保護裝備之人),非駕駛人,人的狀態,步行,其他,非汽、機及自行車,,,非駕駛者,未依標誌或標線穿越道路,否,120.693731,24.165151
2026,7,20260701,030600,A2,新北市政府警察局,新北市樹林區大安路 / 新北市樹林區大安路,晴,有照明且開啟,市區道路,30,交岔路,三岔路,交叉路口,交叉口附近,柏油,乾燥,無缺陷,無障礙物,無遮蔽物,良好,行車管制號誌(附設行人專用號誌),正常,中央分向島,窄式附柵欄,車道線(無標記),快慢車道分隔線,有,車與車,同向擦撞,駕駛者,未保持行車安全間隔,死亡0;受傷1,1,機車,普通重型,男,36,戴非半罩式安全帽,未使用,車的狀態,向前直行中,機車與自行車,右側車身,,,駕駛者,未保持行車安全間隔,否,121.417681,24.992131
2026,7,20260701,030600,A2,新北市政府警察局,新北市樹林區大安路 / 新北市樹林區大安路,晴,有照明且開啟,市區道路,30,交岔路,三岔路,交叉路口,交叉口附近,柏油,乾燥,無缺陷,無障礙物,無遮蔽物,良好,行車管制號誌(附設行人專用號誌),正常,中央分向島,窄式附柵欄,車道線(無標記),快慢車道分隔線,有,車與車,同向擦撞,駕駛者,未保持行車安全間隔,死亡0;受傷1,2,機車,普通重型,男,31,戴非半罩式安全帽,未使用,車的狀態,等待(引擎未熄火),機車與自行車,左側車身,,,無(車輛駕駛者因素),尚未發現肇事因素,否,121.417681,24.992131
2026,7,20260701,040600,A2,臺北市政府警察局,臺北市中山區中山北路3段 / 臺北市中山區撫順街,陰,有照明且開啟,市區道路,50,交岔路,三岔路,交叉路口,交叉路口內,柏油,乾燥,無缺陷,無障礙物,無遮蔽物,良好,無號誌,無號誌,無,無分向設施,車道線(無標記),未繪設快慢車道分隔線,無,車與車,其他,駕駛者,無號誌路口，轉彎車未讓直行車先行,死亡0;受傷1,1,小客車(含客、貨兩用),計程車,男,70,繫安全帶(使用幼童安全椅),未使用,車的狀態,右轉彎,汽車,右側車身,,,駕駛者,無號誌路口，轉彎車未讓直行車先行,否,121.522278,25.064007
2026,7,20260701,040600,A2,臺北市政府警察局,臺北市中山區中山北路3段 / 臺北市中山區撫順街,陰,有照明且開啟,市區道路,50,交岔路,三岔路,交叉路口,交叉路口內,柏油,乾燥,無缺陷,無障礙物,無遮蔽物,良好,無號誌,無號誌,無,無分向設施,車道線(無標記),未繪設快慢車道分隔線,無,車與車,其他,駕駛者,無號誌路口，轉彎車未讓直行車先行,死亡0;受傷1,2,機車,普通重型,女,33,戴半罩式安全帽,未使用,車的狀態,向前直行中,機車與自行車,左側車身,,,駕駛者,未依規定減速,否,121.522278,25.064007
2026,7,20260701,040900,A2,彰化縣警察局,彰化縣二林鎮信義路(洪醒夫公園附近),晴,有照明未開啟或故障,鄉道,50,單路部分,直路,路段,路肩、路緣,柏油,乾燥,無缺陷,無障礙物,無遮蔽物,良好,無號誌,無號誌,雙向禁止超車線,無標記,車道線(無標記),未繪設快慢車道分隔線,有,人與車,同向通行中,駕駛者,恍神、緊張、心不在焉分心駕駛,死亡0;受傷1,1,小客車(含客、貨兩用),自用,男,39,繫安全帶(使用幼童安全椅),未使用,車的狀態,向前直行中,汽車,右側車身,,,駕駛者,恍神、緊張、心不在焉分心駕駛,否,120.366683,23.893258
2026,7,20260701,040900,A2,彰化縣警察局,彰化縣二林鎮信義路(洪醒夫公園附近),晴,有照明未開啟或故障,鄉道,50,單路部分,直路,路段,路肩、路緣,柏油,乾燥,無缺陷,無障礙物,無遮蔽物,良好,無號誌,無號誌,雙向禁止超車線,無標記,車道線(無標記),未繪設快慢車道分隔線,有,人與車,同向通行中,駕駛者,恍神、緊張、心不在焉分心駕駛,死亡0;受傷1,2,人,行人,男,67,其他(無需使用保護裝備之人),非駕駛人,人的狀態,步行,其他,非汽、機及自行車,,,非駕駛者,其他引起事故之疏失或行為,否,120.366683,23.893258
2026,7,20260701,041500,A2,臺北市政府警察局,臺北市士林區劍潭路46號前0.0公尺,晴,有照明且開啟,市區道路,30,單路部分,直路,路段,一般車道(未劃分快慢車道),柏油,乾燥,無缺陷,無障礙物,無遮蔽物,良好,無號誌,無號誌,無,無分向設施,未繪設車道線,未繪設快慢車道分隔線,無,車與車,同向擦撞,其他,其他不當駕車行為,死亡0;受傷1,1,機車,普通重型,男,33,戴非半罩式安全帽,未使用,車的狀態,向前直行中,機車與自行車,左側車身,,,其他,其他不當駕車行為,否,121.522486,25.083780
2026,7,20260701,041500,A2,臺北市政府警察局,臺北市士林區劍潭路46號前0.0公尺,晴,有照明且開啟,市區道路,30,單路部分,直路,路段,一般車道(未劃分快慢車道),柏油,乾燥,無缺陷,無障礙物,無遮蔽物,良好,無號誌,無號誌,無,無分向設施,未繪設車道線,未繪設快慢車道分隔線,無,車與車,同向擦撞,其他,其他不當駕車行為,死亡0;受傷1,2,小客車(含客、貨兩用),自用,男,33,繫安全帶(使用幼童安全椅),未使用,車的狀態,靜止(引擎熄火),汽車,右側車身,,,無(車輛駕駛者因素),尚未發現肇事因素,否,121.522486,25.083780
2026,7,20260701,041500,A2,臺北市政府警察局,臺北市士林區劍潭路46號前0.0公尺,晴,有照明且開啟,市區道路,30,單路部分,直路,路段,一般車道(未劃分快慢車道),柏油,乾燥,無缺陷,無障礙物,無遮蔽物,良好,無號誌,無號誌,無,無分向設施,未繪設車道線,未繪設快慢車道分隔線,無,車與車,同向擦撞,其他,其他不當駕車行為,死亡0;受傷1,3,小客車(含客、貨兩用),自用,女,78,繫安全帶(使用幼童安全椅),未使用,車的狀態,靜止(引擎熄火),汽車,後車尾,,,無(車輛駕駛者因素),尚未發現肇事因素,否,121.522486,25.083780
2026,7,20260701,042043,A2,嘉義縣警察局,嘉義縣竹崎鄉義仁村166線43.3K,晴,有照明且開啟,縣道,60,單路部分,直路,路段,一般車道(未劃分快慢車道),柏油,乾燥,無缺陷,無障礙物,無遮蔽物,良好,閃光號誌,正常,無,無分向設施,車道線(無標記),未繪設快慢車道分隔線,有,車輛本身,衝出路外,駕駛者,打瞌睡或疲勞駕駛(包括連續駕車8小時),死亡0;受傷1,1,小客車(含客、貨兩用),自用,男,41,繫安全帶(使用幼童安全椅),未使用,車的狀態,向前直行中,汽車,前車頭,,,駕駛者,打瞌睡或疲勞駕駛(包括連續駕車8小時),否,120.511429,23.507719
2026,7,20260701,042043,A2,嘉義縣警察局,嘉義縣竹崎鄉義仁村166線43.3K,晴,有照明且開啟,縣道,60,單路部分,直路,路段,一般車道(未劃分快慢車道),柏油,乾燥,無缺陷,無障礙物,無遮蔽物,良好,閃光號誌,正常,無,無分向設施,車道線(無標記),未繪設快慢車道分隔線,有,車輛本身,衝出路外,駕駛者,打瞌睡或疲勞駕駛(包括連續駕車8小時),死亡0;受傷1,2,,,無或物(動物、堆置物),-1,,,,,,,,,無(非車輛駕駛人因素),尚未發現肇事因素,否,120.511429,23.507719
2026,7,20260701,044500,A2,臺中市政府警察局,臺中市梧棲區大庄里臺灣大道八段 / 臺中市梧棲區大庄里文匯街,晴,有照明且開啟,市區道路,40,交岔路,三岔路,交叉路口,交叉路口內,柏油,乾燥,無缺陷,無障礙物,無遮蔽物,良好,行車管制號誌,正常,無,無分向設施,未繪設車道線,未繪設快慢車道分隔線,無,車輛本身,路上翻車、摔倒,駕駛者,超速駕駛,死亡0;受傷1,1,機車,普通重型,女,51,戴半罩式安全帽,未使用,車的狀態,向前直行中,機車與自行車,右側車身,,,駕駛者,超速駕駛,否,120.546655,24.246005
2026,7,20260701,044500,A2,臺中市政府警察局,臺中市梧棲區大庄里臺灣大道八段 / 臺中市梧棲區大庄里文匯街,晴,有照明且開啟,市區道路,40,交岔路,三岔路,交叉路口,交叉路口內,柏油,乾燥,無缺陷,無障礙物,無遮蔽物,良好,行車管制號誌,正常,無,無分向設施,未繪設車道線,未繪設快慢車道分隔線,無,車輛本身,路上翻車、摔倒,駕駛者,超速駕駛,死亡0;受傷1,2,,,無或物(動物、堆置物),0,,,,,,,,,無(非車輛駕駛人因素),尚未發現肇事因素,否,120.546655,24.246005
2026,7,20260701,051800,A2,彰化縣警察局,彰化縣彰化市中華西路178號前,晴,有照明且開啟,市區道路,50,單路部分,直路,路段,一般車道(未劃分快慢車道),柏油,乾燥,無缺陷,無障礙物,無遮蔽物,良好,閃光號誌,正常,中央分向島,寬式(50公分以上),車道線(無標記),快慢車道分隔線,有,車與車,追撞,無(車輛駕駛者因素),尚未發現肇事因素,死亡0;受傷1,1,小客車(含客、貨兩用),自用,女,62,繫安全帶(使用幼童安全椅),未使用,車的狀態,右轉彎,汽車,前車頭,汽車,前車頭,無(車輛駕駛者因素),尚未發現肇事因素,否,120.531051,24.072899
2026,7,20260701,051800,A2,彰化縣警察局,彰化縣彰化市中華西路178號前,晴,有照明且開啟,市區道路,50,單路部分,直路,路段,一般車道(未劃分快慢車道),柏油,乾燥,無缺陷,無障礙物,無遮蔽物,良好,閃光號誌,正常,中央分向島,寬式(50公分以上),車道線(無標記),快慢車道分隔線,有,車與車,追撞,無(車輛駕駛者因素),尚未發現肇事因素,死亡0;受傷1,2,機車,普通重型,男,53,戴半罩式安全帽,未使用,車的狀態,向前直行中,機車與自行車,後車尾,機車與自行車,右側車身,無(車輛駕駛者因素),尚未發現肇事因素,否,120.531051,24.072899
2026,7,20260701,054000,A2,高雄市政府警察局,高雄市三民區昌裕街 / 高雄市三民區金鼎路,晴,有照明未開啟或故障,市區道路,50,交岔路,多岔路,交叉路口,交叉口附近,柏油,乾燥,無缺陷,無障礙物,無遮蔽物,良好,行車管制號誌,正常,雙向禁止超車線,無標記,未繪設車道線,快慢車道分隔線,有,車與車,側撞,駕駛者,違反禁止迴轉或迴車標誌,死亡0;受傷1,1,小客車(含客、貨兩用),計程車,男,57,繫安全帶(使用幼童安全椅),未使用,車的狀態,迴轉或橫越道路中,汽車,前車頭,,,駕駛者,違反禁止迴轉或迴車標誌,否,120.331561,22.658180
