發生年度,發生月份,發生日期,發生時間,事故類別名稱,處理單位名稱警局層,發生地點,天候名稱,光線名稱,道路類別-第1當事者-名稱,速限-第1當事者,道路型態大類別名稱,道路型態子類別名稱,事故位置大類別名稱,事故位置子類別名稱,路面狀況-路面鋪裝名稱,路面狀況-路面狀態名稱,路面狀況-路面缺陷名稱,道路障礙-障礙物名稱,道路障礙-視距品質名稱,道路障礙-視距名稱,號誌-號誌種類名稱,號誌-號誌動作名稱,車道劃分設施-分向設施大類別名稱,車道劃分設施-分向設施子類別名稱,車道劃分設施-分道設施-快車道或一般車道間名稱,車道劃分設施-分道設施-快慢車道間名稱,車道劃分設施-分道設施-路面邊線名稱,事故類型及型態大類別名稱,事故類型及型態子類別名稱,肇因研判大類別名稱-主要,肇因研判子類別名稱-主要,死亡受傷人數,當事者順位,當事者區分-類別-大類別名稱-車種,當事者區分-類別-子類別名稱-車種,當事者屬-性-別名稱,當事者事故發生時年齡,保護裝備名稱,行動電話或電腦或其他相類功能裝置名稱,當事者行動狀態大類別名稱,當事者行動狀態子類別名稱,車輛撞擊部位大類別名稱-最初,車輛撞擊部位子類別名稱-最初,車輛撞擊部位大類別名稱-其他,車輛撞擊部位子類別名稱-其他,肇因研判大類別名稱-個別,肇因研判子類別名稱-個別,肇事逃逸類別名稱-是否肇逃,經度,緯度
2025,1,20250102,072200,A1,臺中市政府警察局,臺中市清水區中社里臨港路五段 / 臺中市清水區中社里中橫十四路,晴,有照明未開啟或故障,市區道路,40,單路部分,直路,路段,慢車道,柏油,乾燥,無缺陷,無障礙物,無遮蔽物,良好,無號誌,無號誌,中央分向島,寬式(50公分以上),車道線(無標記),窄式快慢車道分隔島(無柵欄),有,車與車,其他,其他,相關跡證不足且無具體影像紀錄，當事人各執一詞，經分析後無法釐清肇事原因,死亡1;受傷0,1,機車,普通重型,男,40,戴半罩式安全帽,未使用,車的狀態,向前直行中,機車與自行車,前車頭,,,其他,相關跡證不足且無具體影像紀錄，當事人各執一詞，經分析後無法釐清肇事原因,否,120.535503,24.279112
2025,1,20250102,072200,A1,臺中市政府警察局,臺中市清水區中社里臨港路五段 / 臺中市清水區中社里中橫十四路,晴,有照明未開啟或故障,市區道路,40,單路部分,直路,路段,慢車道,柏油,乾燥,無缺陷,無障礙物,無遮蔽物,良好,無號誌,無號誌,中央分向島,寬式(50公分以上),車道線(無標記),窄式快慢車道分隔島(無柵欄),有,車與車,其他,其他,相關跡證不足且無具體影像紀錄，當事人各執一詞，經分析後無法釐清肇事原因,死亡1;受傷0,2,曳引車,營業用,男,58,繫安全帶(使用幼童安全椅),未使用,車的狀態,等待(引擎未熄火),汽車,後車尾,,,其他,違規(臨時)停車,否,120.535503,24.279112
2025,1,20250102,175500,A1,臺東縣警察局,臺東縣臺東市中興陸橋西端,陰,無照明,省道,60,單路部分,橋樑,路段,慢車道,柏油,乾燥,無缺陷,無障礙物,無遮蔽物,良好,無號誌,無號誌,雙向禁止超車線,附標記,未繪設車道線,快慢車道分隔線,有,人與車,同向通行中,其他,其他不當駕車行為,死亡1;受傷2,1,機車,普通重型,男,17,戴半罩式安全帽,未使用,車的狀態,向前直行中,機車與自行車,前車頭,,,其他,其他不當駕車行為,否,121.104570,22.772709
2025,1,20250102,175500,A1,臺東縣警察局,臺東縣臺東市中興陸橋西端,陰,無照明,省道,60,單路部分,橋樑,路段,慢車道,柏油,乾燥,無缺陷,無障礙物,無遮蔽物,良好,無號誌,無號誌,雙向禁止超車線,附標記,未繪設車道線,快慢車道分隔線,有,人與車,同向通行中,其他,其他不當駕車行為,死亡1;受傷2,2,人,輔助代步器材,男,83,其他(無需使用保護裝備之人),非駕駛人,不明,不明,其他,非汽、機及自行車,,,非駕駛者,其他引起事故之疏失或行為,否,121.104570,22.772709
2025,1,20250102,175500,A1,臺東縣警察局,臺東縣臺東市中興陸橋西端,陰,無照明,省道,60,單路部分,橋樑,路段,慢車道,柏油,乾燥,無缺陷,無障礙物,無遮蔽物,良好,無號誌,無號誌,雙向禁止超車線,附標記,未繪設車道線,快慢車道分隔線,有,人與車,同向通行中,其他,其他不當駕車行為,死亡1;受傷2,3,人,輔助代步器材,女,82,其他(無需使用保護裝備之人),非駕駛人,不明,不明,其他,非汽、機及自行車,,,無(非車輛駕駛人因素),尚未發現肇事因素,否,121.104570,22.772709
2025,1,20250103,084500,A1,基隆市警察局,基隆市暖暖區興隆街2-2號前0.0公尺,陰,有照明未開啟或故障,市區道路,50,單路部分,直路,路段,一般車道(未劃分快慢車道),柏油,濕潤,無缺陷,路上有停車,無遮蔽物,良好,無號誌,無號誌,行車分向線,無標記,未繪設車道線,未繪設快慢車道分隔線,無,車與車,其他,駕駛者,未保持行車安全間隔,死亡1;受傷0,1,機車,普通重型,女,31,戴非半罩式安全帽,未使用,車的狀態,超車(含超越),其他,不明,,,駕駛者,未保持行車安全間隔,否,121.746093,25.103371
2025,1,20250103,084500,A1,基隆市警察局,基隆市暖暖區興隆街2-2號前0.0公尺,陰,有照明未開啟或故障,市區道路,50,單路部分,直路,路段,一般車道(未劃分快慢車道),柏油,濕潤,無缺陷,路上有停車,無遮蔽物,良好,無號誌,無號誌,行車分向線,無標記,未繪設車道線,未繪設快慢車道分隔線,無,車與車,其他,駕駛者,未保持行車安全間隔,死亡1;受傷0,2,曳引車,營業用,男,48,繫安全帶(使用幼童安全椅),未使用,車的狀態,向前直行中,其他,不明,,,無(車輛駕駛者因素),尚未發現肇事因素,否,121.746093,25.103371
2025,1,20250103,084500,A1,基隆市警察局,基隆市暖暖區興隆街2-2號前0.0公尺,陰,有照明未開啟或故障,市區道路,50,單路部分,直路,路段,一般車道(未劃分快慢車道),柏油,濕潤,無缺陷,路上有停車,無遮蔽物,良好,無號誌,無號誌,行車分向線,無標記,未繪設車道線,未繪設快慢車道分隔線,無,車與車,其他,駕駛者,未保持行車安全間隔,死亡1;受傷0,3,機車,普通重型,男,30,戴非半罩式安全帽,未使用,車的狀態,靜止(引擎熄火),其他,無撞擊,,,其他,違規(臨時)停車,否,121.746093,25.103371
2025,1,20250104,072400,A1,新北市政府警察局,新北市樹林區柑園街2段 / 新北市樹林區柑園街2段,陰,無照明,市區道路,50,交岔路,四岔路,交叉路口,交叉路口內,柏油,乾燥,無缺陷,無障礙物,無遮蔽物,良好,無號誌,無號誌,雙向禁止超車線,無標記,車道線(無標記),未繪設快慢車道分隔線,有,車與車,其他,駕駛者,無號誌路口，支線道未讓幹線道先行,死亡1;受傷0,1,小客車(含客、貨兩用),自用,男,69,繫安全帶(使用幼童安全椅),未使用,車的狀態,向前直行中,汽車,右前車頭(身),,,駕駛者,無號誌路口，支線道未讓幹線道先行,否,121.374747,24.950332
2025,1,20250104,072400,A1,新北市政府警察局,新北市樹林區柑園街2段 / 新北市樹林區柑園街2段,陰,無照明,市區道路,50,交岔路,四岔路,交叉路口,交叉路口內,柏油,乾燥,無缺陷,無障礙物,無遮蔽物,良好,無號誌,無號誌,雙向禁止超車線,無標記,車道線(無標記),未繪設快慢車道分隔線,有,車與車,其他,駕駛者,無號誌路口，支線道未讓幹線道先行,死亡1;受傷0,2,機車,普通重型,女,55,戴半罩式安全帽,未使用,車的狀態,向前直行中,機車與自行車,左側車身,,,無(車輛駕駛者因素),尚未發現肇事因素,否,121.374747,24.950332
2025,1,20250104,105200,A1,雲林縣警察局,雲林縣口湖鄉164縣道與台17線路口,晴,無照明,縣道,50,交岔路,四岔路,交叉路口,交叉路口內,柏油,乾燥,無缺陷,無障礙物,無遮蔽物,良好,行車管制號誌,正常,雙向禁止超車線,無標記,車道線(無標記),未繪設快慢車道分隔線,有,車與車,路口交岔撞,駕駛者,闖紅燈直行,死亡1;受傷0,1,機車,普通重型,女,83,戴半罩式安全帽,未使用,車的狀態,向前直行中,機車與自行車,前車頭,,,駕駛者,闖紅燈直行,否,120.151023,23.574932
2025,1,20250104,105200,A1,雲林縣警察局,雲林縣口湖鄉164縣道與台17線路口,晴,無照明,縣道,50,交岔路,四岔路,交叉路口,交叉路口內,柏油,乾燥,無缺陷,無障礙物,無遮蔽物,良好,行車管制號誌,正常,雙向禁止超車線,無標記,車道線(無標記),未繪設快慢車道分隔線,有,車與車,路口交岔撞,駕駛者,闖紅燈直行,死亡1;受傷0,2,曳引車,營業用,男,54,不明,未使用,車的狀態,向前直行中,汽車,左後車尾(身),,,無(車輛駕駛者因素),尚未發現肇事因素,否,120.151023,23.574932
2025,1,20250104,190722,A1,臺南市政府警察局,臺南市白河區白河里中山路2號之88前,晴,有照明且開啟,市區道路,60,單路部分,直路,路段,路肩、路緣,柏油,乾燥,無缺陷,無障礙物,無遮蔽物,良好,無號誌,無號誌,行車分向線,無標記,未繪設車道線,未繪設快慢車道分隔線,有,人與車,其他,駕駛者,恍神、緊張、心不在焉分心駕駛,死亡1;受傷0,1,小客車(含客、貨兩用),自用,男,30,繫安全帶(使用幼童安全椅),未使用,車的狀態,向右變換車道,汽車,前車頭,,,駕駛者,恍神、緊張、心不在焉分心駕駛,否,120.411708,23.344514
2025,1,20250104,190722,A1,臺南市政府警察局,臺南市白河區白河里中山路2號之88前,晴,有照明且開啟,市區道路,60,單路部分,直路,路段,路肩、路緣,柏油,乾燥,無缺陷,無障礙物,無遮蔽物,良好,無號誌,無號誌,行車分向線,無標記,未繪設車道線,未繪設快慢車道分隔線,有,人與車,其他,駕駛者,恍神、緊張、心不在焉分心駕駛,死亡1;受傷0,2,人,行人,女,62,其他(無需使用保護裝備之人),非駕駛人,人的狀態,步行,其他,非汽、機及自行車,,,無(非車輛駕駛人因素),尚未發現肇事因素,否,120.411708,23.344514
2025,1,20250105,165400,A1,彰化縣警察局,彰化縣溪州鄉中山路三段767號,晴,有照明且開啟,村里道路,50,單路部分,直路,路段,一般車道(未劃分快慢車道),柏油,乾燥,無缺陷,無障礙物,無遮蔽物,良好,無號誌,無號誌,行車分向線,附標記,未繪設車道線,未繪設快慢車道分隔線,有,車與車,其他,機件,其他機件失靈或故障,死亡1;受傷0,1,機車,普通重型,男,60,不明,不明,車的狀態,向前直行中,機車與自行車,前車頭,,,機件,其他機件失靈或故障,否,120.503114,23.857695
2025,1,20250105,165400,A1,彰化縣警察局,彰化縣溪州鄉中山路三段767號,晴,有照明且開啟,村里道路,50,單路部分,直路,路段,一般車道(未劃分快慢車道),柏油,乾燥,無缺陷,無障礙物,無遮蔽物,良好,無號誌,無號誌,行車分向線,附標記,未繪設車道線,未繪設快慢車道分隔線,有,車與車,其他,機件,其他機件失靈或故障,死亡1;受傷0,2,小客車(含客、貨兩用),自用,男,41,不明,不明,車的狀態,向前直行中,汽車,前車頭,,,無(車輛駕駛者因素),尚未發現肇事因素,否,120.503114,23.857695
2025,1,20250106,100300,A1,南投縣政府警察局,南投縣草屯鎮加老里芬草路三段58巷與芬草路三段18巷口,晴,有照明未開啟或故障,村里道路,30,交岔路,四岔路,交叉路口,交叉路口內,柏油,乾燥,無缺陷,無障礙物,無遮蔽物,良好,無號誌,無號誌,無,無分向設施,未繪設車道線,未繪設快慢車道分隔線,無,車與車,路口交岔撞,駕駛者,無號誌路口，左方車未讓右方車先行,死亡1;受傷0,1,機車,普通重型,女,81,戴半罩式安全帽,未使用,車的狀態,向前直行中,機車與自行車,右側車身,,,駕駛者,無號誌路口，左方車未讓右方車先行,否,120.662053,23.998658
2025,1,20250106,100300,A1,南投縣政府警察局,南投縣草屯鎮加老里芬草路三段58巷與芬草路三段18巷口,晴,有照明未開啟或故障,村里道路,30,交岔路,四岔路,交叉路口,交叉路口內,柏油,乾燥,無缺陷,無障礙物,無遮蔽物,良好,無號誌,無號誌,無,無分向設施,未繪設車道線,未繪設快慢車道分隔線,無,車與車,路口交岔撞,駕駛者,無號誌路口，左方車未讓右方車先行,死亡1;受傷0,2,小客車(含客、貨兩用),自用,女,66,繫安全帶(使用幼童安全椅),未使用,車的狀態,向前直行中,汽車,前車頭,,,駕駛者,未依規定減速,否,120.662053,23.998658
2025,1,20250106,113900,A1,高雄市政府警察局,高雄市彌陀區中正東路89號旁號前0.0公尺,晴,有照明未開啟或故障,市區道路,70,單路部分,直路,路段,快車道,柏油,乾燥,無缺陷,無障礙物,無遮蔽物,良好,無號誌,無號誌,中央分向島,寬式(50公分以上),車道線(附標記),快慢車道分隔線,有,車與車,側撞,駕駛者,迴轉未依規定,死亡1;受傷0,1,大貨車,自用,男,75,繫安全帶(使用幼童安全椅),未使用,車的狀態,迴轉或橫越道路中,汽車,右側車身,,,駕駛者,迴轉未依規定,否,120.252402,22.779457
2025,1,20250106,113900,A1,高雄市政府警察局,高雄市彌陀區中正東路89號旁號前0.0公尺,晴,有照明未開啟或故障,市區道路,70,單路部分,直路,路段,快車道,柏油,乾燥,無缺陷,無障礙物,無遮蔽物,良好,無號誌,無號誌,中央分向島,寬式(50公分以上),車道線(附標記),快慢車道分隔線,有,車與車,側撞,駕駛者,迴轉未依規定,死亡1;受傷0,2,機車,普通重型,男,15,戴半罩式安全帽,未使用,車的狀態,向前直行中,機車與自行車,前車頭,,,駕駛者,爭(搶)道行駛,否,120.252402,22.779457
2025,1,20250106,181300,A1,臺東縣警察局,臺東縣臺東市中華路一段843號前,晴,有照明且開啟,市區道路,50,交岔路,四岔路,交叉路口,交叉路口內,柏油,乾燥,無缺陷,無障礙物,無遮蔽物,良好,行車管制號誌,正常,無,無分向設施,未繪設車道線,未繪設快慢車道分隔線,無,車與車,側撞,駕駛者,闖紅燈左轉(或迴轉),死亡1;受傷1,1,機車,普通重型,女,21,戴半罩式安全帽,未使用,車的狀態,左轉彎,機車與自行車,前車頭,,,駕駛者,闖紅燈左轉(或迴轉),否,121.143726,22.746981
2025,1,20250106,181300,A1,臺東縣警察局,臺東縣臺東市中華路一段843號前,晴,有照明且開啟,市區道路,50,交岔路,四岔路,交叉路口,交叉路口內,柏油,乾燥,無缺陷,無障礙物,無遮蔽物,良好,行車管制號誌,正常,無,無分向設施,未繪設車道線,未繪設快慢車道分隔線,無,車與車,側撞,駕駛者,闖紅燈左轉(或迴轉),死亡1;受傷1,2,機車,普通重型,男,23,戴半罩式安全帽,未使用,車的狀態,向前直行中,機車與自行車,前車頭,,,駕駛者,闖紅燈直行,否,121.143726,22.746981
資料提供日期：114年01月13日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
事故類別：A1類,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
